Epoch [35/100], Loss: 0.1939, Train Acc: 99.80%
Test Accuracy: 82.47% | Avg Loss: 0.9784
Validation Acc: 82.47% | Val Loss: 0.9784
Epoch [36/100], Loss: 0.1122, Train Acc: 99.88%
Test Accuracy: 83.04% | Avg Loss: 0.9715
Validation Acc: 83.04% | Val Loss: 0.9715
Best model saved with acc 83.04% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [37/100], Loss: 0.0781, Train Acc: 99.93%
Test Accuracy: 82.98% | Avg Loss: 0.9763
Validation Acc: 82.98% | Val Loss: 0.9763
Epoch [38/100], Loss: 0.0643, Train Acc: 99.93%
Test Accuracy: 84.10% | Avg Loss: 0.9250
Validation Acc: 84.10% | Val Loss: 0.9250
Best model saved with acc 84.10% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [39/100], Loss: 0.0823, Train Acc: 99.91%
Test Accuracy: 83.27% | Avg Loss: 0.9761
Validation Acc: 83.27% | Val Loss: 0.9761
Epoch [40/100], Loss: 0.0613, Train Acc: 99.93%
Test Accuracy: 83.78% | Avg Loss: 0.9276
Validation Acc: 83.78% | Val Loss: 0.9276
Epoch [41/100], Loss: 0.0309, Train Acc: 99.96%
Test Accuracy: 84.02% | Avg Loss: 0.9282
Validation Acc: 84.02% | Val Loss: 0.9282
Epoch [42/100], Loss: 0.0242, Train Acc: 99.97%
Test Accuracy: 83.94% | Avg Loss: 0.9393
Validation Acc: 83.94% | Val Loss: 0.9393
Epoch [43/100], Loss: 0.0194, Train Acc: 99.97%
Test Accuracy: 84.31% | Avg Loss: 0.9197
Validation Acc: 84.31% | Val Loss: 0.9197
Best model saved with acc 84.31% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [44/100], Loss: 0.0197, Train Acc: 99.97%
Test Accuracy: 84.33% | Avg Loss: 0.9115
Validation Acc: 84.33% | Val Loss: 0.9115
Best model saved with acc 84.33% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [45/100], Loss: 0.0186, Train Acc: 99.97%
Test Accuracy: 84.38% | Avg Loss: 0.9134
Validation Acc: 84.38% | Val Loss: 0.9134
Best model saved with acc 84.38% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [46/100], Loss: 0.0152, Train Acc: 99.97%
Test Accuracy: 84.55% | Avg Loss: 0.9178
Validation Acc: 84.55% | Val Loss: 0.9178
Best model saved with acc 84.55% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [47/100], Loss: 0.0169, Train Acc: 99.96%
Test Accuracy: 84.63% | Avg Loss: 0.9203
Validation Acc: 84.63% | Val Loss: 0.9203
Best model saved with acc 84.63% to checkpoints/VisionTransfomers/ViT_finetune_model_best.pt
Epoch [48/100], Loss: 0.0123, Train Acc: 99.97%
Test Accuracy: 84.63% | Avg Loss: 0.9243
Validation Acc: 84.63% | Val Loss: 0.9243
Epoch [49/100], Loss: 0.0096, Train Acc: 99.98%
Test Accuracy: 84.65% | Avg Loss: 0.9246
Validation Acc: 84.65% | Val Loss: 0.9246
