Epoch [50/100], Loss: 0.0541, Train Acc: 98.26%
Test Accuracy: 66.93% | Avg Loss: 1.8837
New best model saved with accuracy: 66.93%
Epoch [51/100], Loss: 0.0522, Train Acc: 98.37%
Test Accuracy: 66.75% | Avg Loss: 1.8350
Epoch [52/100], Loss: 0.0519, Train Acc: 98.31%
Test Accuracy: 65.51% | Avg Loss: 1.9222
Epoch [53/100], Loss: 0.0477, Train Acc: 98.52%
Test Accuracy: 65.96% | Avg Loss: 1.8534
Epoch [54/100], Loss: 0.0516, Train Acc: 98.38%
Test Accuracy: 66.11% | Avg Loss: 1.8917
Epoch [55/100], Loss: 0.0474, Train Acc: 98.50%
Test Accuracy: 66.64% | Avg Loss: 1.8518
Epoch [56/100], Loss: 0.0477, Train Acc: 98.50%
Test Accuracy: 66.51% | Avg Loss: 1.8871
Epoch [57/100], Loss: 0.0450, Train Acc: 98.57%
Test Accuracy: 65.97% | Avg Loss: 1.9760
Epoch [58/100], Loss: 0.0486, Train Acc: 98.51%
Test Accuracy: 66.25% | Avg Loss: 1.9227
Epoch [59/100], Loss: 0.0402, Train Acc: 98.82%
Test Accuracy: 66.48% | Avg Loss: 1.9095
Epoch [60/100], Loss: 0.0431, Train Acc: 98.66%
Test Accuracy: 66.44% | Avg Loss: 1.9647
Epoch [61/100], Loss: 0.0437, Train Acc: 98.70%
Test Accuracy: 66.15% | Avg Loss: 1.9624
Epoch [62/100], Loss: 0.0426, Train Acc: 98.63%
Test Accuracy: 66.60% | Avg Loss: 1.9558
Epoch [63/100], Loss: 0.0406, Train Acc: 98.71%
Test Accuracy: 66.66% | Avg Loss: 1.9150
Epoch [64/100], Loss: 0.0394, Train Acc: 98.74%
Test Accuracy: 67.59% | Avg Loss: 1.8840
New best model saved with accuracy: 67.59%
Epoch [65/100], Loss: 0.0408, Train Acc: 98.76%
Test Accuracy: 66.82% | Avg Loss: 1.9126
Epoch [66/100], Loss: 0.0369, Train Acc: 98.82%
Test Accuracy: 66.66% | Avg Loss: 1.9560
Epoch [67/100], Loss: 0.0389, Train Acc: 98.79%
Test Accuracy: 67.17% | Avg Loss: 1.8907
Epoch [68/100], Loss: 0.0348, Train Acc: 98.90%
Test Accuracy: 66.20% | Avg Loss: 2.0282
Epoch [69/100], Loss: 0.0385, Train Acc: 98.83%
Test Accuracy: 66.65% | Avg Loss: 1.9621
Epoch [70/100], Loss: 0.0368, Train Acc: 98.81%
Test Accuracy: 65.57% | Avg Loss: 2.0608
Epoch [71/100], Loss: 0.0362, Train Acc: 98.83%
Test Accuracy: 66.38% | Avg Loss: 2.0128
Epoch [72/100], Loss: 0.0314, Train Acc: 99.05%
Test Accuracy: 66.84% | Avg Loss: 1.9366
Epoch [73/100], Loss: 0.0377, Train Acc: 98.74%
Test Accuracy: 66.24% | Avg Loss: 1.9943
Epoch [74/100], Loss: 0.0320, Train Acc: 98.97%
Test Accuracy: 67.07% | Avg Loss: 1.9803
Epoch [75/100], Loss: 0.0344, Train Acc: 98.92%
Test Accuracy: 66.22% | Avg Loss: 2.0305
Epoch [76/100], Loss: 0.0318, Train Acc: 99.04%
Test Accuracy: 67.00% | Avg Loss: 1.9780
Epoch [77/100], Loss: 0.0327, Train Acc: 98.98%
Test Accuracy: 66.93% | Avg Loss: 1.9829
